,danceability,energy,key,loudness,mode,speechiness,acousticness,instrumentalness,liveness,valence,tempo,type,id,uri,track_href,analysis_url,duration_ms,time_signature
1072,0.301,0.385,2,-10.755,1,0.0323,0.604,0.0,0.0799,0.275,171.836,audio_features,4jdtLLyEL7wY0TlCdMKhxq,spotify:track:4jdtLLyEL7wY0TlCdMKhxq,https://api.spotify.com/v1/tracks/4jdtLLyEL7wY0TlCdMKhxq,https://api.spotify.com/v1/audio-analysis/4jdtLLyEL7wY0TlCdMKhxq,679107,3
1073,0.686,0.127,7,-14.361,1,0.0342,0.754,1.41e-05,0.0573,0.372,93.699,audio_features,5jgFfDIR6FR0gvlA56Nakr,spotify:track:5jgFfDIR6FR0gvlA56Nakr,https://api.spotify.com/v1/tracks/5jgFfDIR6FR0gvlA56Nakr,https://api.spotify.com/v1/audio-analysis/5jgFfDIR6FR0gvlA56Nakr,138387,4
1074,0.425,0.651,10,-6.131,1,0.0287,0.105,0.0,0.138,0.366,159.363,audio_features,1OZSVl0JJ1MBzibpuhmmXb,spotify:track:1OZSVl0JJ1MBzibpuhmmXb,https://api.spotify.com/v1/tracks/1OZSVl0JJ1MBzibpuhmmXb,https://api.spotify.com/v1/audio-analysis/1OZSVl0JJ1MBzibpuhmmXb,394173,4
1075,0.461,0.955,11,-6.684,1,0.0489,0.111,0.532,0.952,0.725,160.073,audio_features,4SDGb2V6J2rEbxNujwNeMl,spotify:track:4SDGb2V6J2rEbxNujwNeMl,https://api.spotify.com/v1/tracks/4SDGb2V6J2rEbxNujwNeMl,https://api.spotify.com/v1/audio-analysis/4SDGb2V6J2rEbxNujwNeMl,166092,4
1076,0.572,0.932,1,-5.482,1,0.0536,0.055,0.762,0.203,0.711,112.509,audio_features,62nm5Ay0pIYt8Z54UQrghu,spotify:track:62nm5Ay0pIYt8Z54UQrghu,https://api.spotify.com/v1/tracks/62nm5Ay0pIYt8Z54UQrghu,https://api.spotify.com/v1/audio-analysis/62nm5Ay0pIYt8Z54UQrghu,204267,4
1077,0.282,0.738,0,-5.566,1,0.0324,0.0647,0.0142,0.29,0.211,126.914,audio_features,0WZZJ0mDKIkLfL0710ssZt,spotify:track:0WZZJ0mDKIkLfL0710ssZt,https://api.spotify.com/v1/tracks/0WZZJ0mDKIkLfL0710ssZt,https://api.spotify.com/v1/audio-analysis/0WZZJ0mDKIkLfL0710ssZt,288333,4
1078,0.255,0.393,5,-10.654,1,0.0278,0.0577,0.00361,0.113,0.118,76.426,audio_features,10nyNJ6zNy2YVYLrcwLccB,spotify:track:10nyNJ6zNy2YVYLrcwLccB,https://api.spotify.com/v1/tracks/10nyNJ6zNy2YVYLrcwLccB,https://api.spotify.com/v1/audio-analysis/10nyNJ6zNy2YVYLrcwLccB,229120,4
1079,0.613,0.42,4,-9.765,1,0.0477,0.936,0.000107,0.0856,0.924,167.81,audio_features,4bLFRNxLjFltxVPjvUbgJ7,spotify:track:4bLFRNxLjFltxVPjvUbgJ7,https://api.spotify.com/v1/tracks/4bLFRNxLjFltxVPjvUbgJ7,https://api.spotify.com/v1/audio-analysis/4bLFRNxLjFltxVPjvUbgJ7,166160,4
1080,0.767,0.626,9,-8.408,1,0.036,0.188,1.03e-05,0.327,0.715,125.206,audio_features,6gVonza2jBVEuQPRRR7N1b,spotify:track:6gVonza2jBVEuQPRRR7N1b,https://api.spotify.com/v1/tracks/6gVonza2jBVEuQPRRR7N1b,https://api.spotify.com/v1/audio-analysis/6gVonza2jBVEuQPRRR7N1b,141000,4
1081,0.633,0.49,10,-7.668,1,0.0255,0.395,6.92e-05,0.0886,0.66,132.178,audio_features,5AMrnF761nziCWUfjBgRUI,spotify:track:5AMrnF761nziCWUfjBgRUI,https://api.spotify.com/v1/tracks/5AMrnF761nziCWUfjBgRUI,https://api.spotify.com/v1/audio-analysis/5AMrnF761nziCWUfjBgRUI,280107,3
1082,0.51,0.488,7,-10.304,1,0.0304,0.256,0.0,0.11,0.649,125.683,audio_features,7uEcCGtM1FBBGIhPozhJjv,spotify:track:7uEcCGtM1FBBGIhPozhJjv,https://api.spotify.com/v1/tracks/7uEcCGtM1FBBGIhPozhJjv,https://api.spotify.com/v1/audio-analysis/7uEcCGtM1FBBGIhPozhJjv,179613,4
1083,0.382,0.00924,4,-26.131,1,0.0358,0.974,0.000274,0.116,0.184,92.242,audio_features,5u4BcfEwGQA1hjD2gNPspc,spotify:track:5u4BcfEwGQA1hjD2gNPspc,https://api.spotify.com/v1/tracks/5u4BcfEwGQA1hjD2gNPspc,https://api.spotify.com/v1/audio-analysis/5u4BcfEwGQA1hjD2gNPspc,265907,3
